route_id,depot_id,route_code,source,destination,route_name,estimated_duration_minutes,status,data_source
R0001,D001,ADOOR-DEMO-R01,ADOOR,DEMO JUNCTION A,ADOOR - DEMO JUNCTION A,120,ACTIVE,MOCK
R0002,D001,ADOOR-DEMO-R02,ADOOR,DEMO JUNCTION B,ADOOR - DEMO JUNCTION B,150,ACTIVE,MOCK
R0003,D001,ADOOR-DEMO-R03,ADOOR,DEMO TERMINAL C,ADOOR - DEMO TERMINAL C,180,ACTIVE,MOCK
R0004,D002,ALAPPUZH-DEMO-R01,ALAPPUZHA,DEMO JUNCTION A,ALAPPUZHA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0005,D002,ALAPPUZH-DEMO-R02,ALAPPUZHA,DEMO JUNCTION B,ALAPPUZHA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0006,D002,ALAPPUZH-DEMO-R03,ALAPPUZHA,DEMO TERMINAL C,ALAPPUZHA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0007,D003,ALUVA-DEMO-R01,ALUVA,DEMO JUNCTION A,ALUVA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0008,D003,ALUVA-DEMO-R02,ALUVA,DEMO JUNCTION B,ALUVA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0009,D003,ALUVA-DEMO-R03,ALUVA,DEMO TERMINAL C,ALUVA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0010,D004,ANAYARA-DEMO-R01,ANAYARA,DEMO JUNCTION A,ANAYARA - DEMO JUNCTION A,120,ACTIVE,MOCK
R0011,D004,ANAYARA-DEMO-R02,ANAYARA,DEMO JUNCTION B,ANAYARA - DEMO JUNCTION B,150,ACTIVE,MOCK
R0012,D004,ANAYARA-DEMO-R03,ANAYARA,DEMO TERMINAL C,ANAYARA - DEMO TERMINAL C,180,ACTIVE,MOCK
R0013,D005,ANKAMALI-DEMO-R01,ANKAMALI,DEMO JUNCTION A,ANKAMALI - DEMO JUNCTION A,120,ACTIVE,MOCK
R0014,D005,ANKAMALI-DEMO-R02,ANKAMALI,DEMO JUNCTION B,ANKAMALI - DEMO JUNCTION B,150,ACTIVE,MOCK
R0015,D005,ANKAMALI-DEMO-R03,ANKAMALI,DEMO TERMINAL C,ANKAMALI - DEMO TERMINAL C,180,ACTIVE,MOCK
R0016,D006,ARYANAD-DEMO-R01,ARYANAD,DEMO JUNCTION A,ARYANAD - DEMO JUNCTION A,120,ACTIVE,MOCK
R0017,D006,ARYANAD-DEMO-R02,ARYANAD,DEMO JUNCTION B,ARYANAD - DEMO JUNCTION B,150,ACTIVE,MOCK
R0018,D006,ARYANAD-DEMO-R03,ARYANAD,DEMO TERMINAL C,ARYANAD - DEMO TERMINAL C,180,ACTIVE,MOCK
R0019,D007,ARYANKAV-DEMO-R01,ARYANKAVU,DEMO JUNCTION A,ARYANKAVU - DEMO JUNCTION A,120,ACTIVE,MOCK
R0020,D007,ARYANKAV-DEMO-R02,ARYANKAVU,DEMO JUNCTION B,ARYANKAVU - DEMO JUNCTION B,150,ACTIVE,MOCK
R0021,D007,ARYANKAV-DEMO-R03,ARYANKAVU,DEMO TERMINAL C,ARYANKAVU - DEMO TERMINAL C,180,ACTIVE,MOCK
R0022,D008,ATTINGAL-DEMO-R01,ATTINGAL,DEMO JUNCTION A,ATTINGAL - DEMO JUNCTION A,120,ACTIVE,MOCK
R0023,D008,ATTINGAL-DEMO-R02,ATTINGAL,DEMO JUNCTION B,ATTINGAL - DEMO JUNCTION B,150,ACTIVE,MOCK
R0024,D008,ATTINGAL-DEMO-R03,ATTINGAL,DEMO TERMINAL C,ATTINGAL - DEMO TERMINAL C,180,ACTIVE,MOCK
R0025,D009,BANGALOR-DEMO-R01,BANGALORE,DEMO JUNCTION A,BANGALORE - DEMO JUNCTION A,120,ACTIVE,MOCK
R0026,D009,BANGALOR-DEMO-R02,BANGALORE,DEMO JUNCTION B,BANGALORE - DEMO JUNCTION B,150,ACTIVE,MOCK
